repo_owner_name,repo_name,repository_url,star_count,fork_count,pushedat,binding_file_path
repo_owner_name,repo_name,repository_url,star_count,fork_count,pushedat,binding_file_path
google,mediapipe,https://github.com/google/mediapipe,23676,4583,2023-10-23T15:01:56Z,"test_output/mediapipe/mediapipe/python/framework_bindings.cc, test_output/mediapipe/mediapipe/tasks/python/metadata/flatbuffers_lib/flatbuffers_lib.cc, test_output/mediapipe/mediapipe/tasks/cc/metadata/python/metadata_version.cc"
Tencent,MMKV,https://github.com/Tencent/MMKV,16254,1761,2023-10-10T08:25:37Z,test_output/MMKV/POSIX/Python/libmmkv_python.cpp
davisking,dlib,https://github.com/davisking/dlib,12323,2802,2023-10-11T23:39:48Z,"test_output/dlib/tools/python/src/dlib.cpp, test_output/dlib/dlib/external/pybind11/include/pybind11/pybind11.h, test_output/dlib/dlib/external/pybind11/include/pybind11/detail/internals.h, test_output/dlib/dlib/external/pybind11/include/pybind11/detail/type_caster_base.h, test_output/dlib/dlib/external/pybind11/include/pybind11/detail/common.h"
microsoft,onnxruntime,https://github.com/microsoft/onnxruntime,10707,2218,2023-10-23T14:05:20Z,"test_output/onnxruntime/orttraining/orttraining/test/external_custom_ops/src/foo_op.cpp, test_output/onnxruntime/orttraining/orttraining/python/orttraining_python_module.cc, test_output/onnxruntime/orttraining/orttraining/python/training/ortmodule/torch_cpp_extensions/cpu/torch_interop_utils/torch_interop_utils.cc, test_output/onnxruntime/orttraining/orttraining/python/training/ortmodule/torch_cpp_extensions/cuda/fused_ops/fused_ops_frontend.cpp, test_output/onnxruntime/orttraining/orttraining/python/training/ortmodule/torch_cpp_extensions/cuda/torch_gpu_allocator/torch_gpu_allocator.cc, test_output/onnxruntime/onnxruntime/python/onnxruntime_pybind_module.cc, test_output/onnxruntime/onnxruntime/python/torch_cpp_extensions/aten_op_executor/aten_op_executor.cc"
openai,triton,https://github.com/openai/triton,8512,883,2023-10-23T14:54:32Z,test_output/triton/python/src/main.cc
google,re2,https://github.com/google/re2,8248,1057,2023-10-20T14:31:32Z,test_output/re2/python/_re2.cc
finos,perspective,https://github.com/finos/perspective,6827,835,2023-10-21T03:55:11Z,test_output/perspective/python/perspective/perspective/include/perspective/python.h
NVIDIA,DALI,https://github.com/NVIDIA/DALI,4635,571,2023-10-23T14:28:10Z,"test_output/DALI/dali/python/backend_impl.cc, test_output/DALI/dali/operators/python_function/dltensor_function.cc"
spotify,pedalboard,https://github.com/spotify/pedalboard,4501,204,2023-10-17T14:57:28Z,test_output/pedalboard/pedalboard/python_bindings.cpp
